poi_id,Feature Name,Theme,Sub Theme,Address,lat,lon
1,Council House 2 (CH2),Mixed Use,Retail/Office/Carpark,236 Little Collins Street  Melbourne,-37.814259143201106,144.966638432727
2,The Melbourne Athenaeum Library,Place Of Assembly,Library,190 Collins Street  Melbourne,-37.814885575641604,144.96729128994102
3,Carlton Gardens South,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South Victoria Street  Carlton,-37.8060684577258,144.971266479841
4,St Francis Church,Place of Worship,Church,274 Elizabeth Street  Melbourne,-37.8118847831837,144.962422614541
5,Wesley Church,Place of Worship,Church,138 Lonsdale Street  Melbourne,-37.810157644696105,144.968168215633
6,St Augustines Church,Place of Worship,Church,641 Bourke Street  Melbourne,-37.8169741358546,144.954862000132
7,St James Church,Place of Worship,Church,427 King Street  West Melbourne,-37.8101281201969,144.952468571683
8,St Mary's Anglican Church,Place of Worship,Church,155 Howard Street  North Melbourne,-37.8031663672997,144.953761537074
9,Romanian Orthodox,Place of Worship,Church,59 Queensberry Street  Carlton,-37.805230729746796,144.96698644459698
10,Welsh Presbyterian Church,Place of Worship,Church,328 La Trobe Street  Melbourne,-37.8104478768313,144.959873260087
11,Church of Christ,Place of Worship,Church,335 Swanston Street  Melbourne,-37.8104524079085,144.96388920293998
12,Scots Church,Place of Worship,Church,85 Russell Street  Melbourne,-37.8145687802664,144.96855105334998
13,St Michael's Uniting Church,Place of Worship,Church,84 Russell Street  Melbourne,-37.814385132491296,144.969174036096
14,Greek Orthodox Church,Place of Worship,Church,194 Victoria Parade  East Melbourne,-37.8088064667555,144.97825908926902
15,St Peter's Eastern Hill,Place of Worship,Church,457 Albert Street  East Melbourne,-37.8097086714637,144.975259178609
16,Lutheran Trinity Church,Place of Worship,Church,34 Parliament Place  East Melbourne,-37.8109757054396,144.975729473552
17,Holy Trinity,Place of Worship,Church,207 Hotham Street  East Melbourne,-37.8140667110854,144.98319732228902
18,St Johns Lutheran Church,Place of Worship,Church,24 City Road  Southbank,-37.8209399677168,144.967121099857
19,North Melbourne Uniting,Place of Worship,Church,51 Curzon Street  North Melbourne,-37.8035538471344,144.947671538375
20,Melbourne Unitarian Church,Place of Worship,Church,114 Grey Street  East Melbourne,-37.81144877733939,144.984664890999
21,All Nations Uniting Church,Place of Worship,Church,182 Palmerston Street  Carlton,-37.7959155303946,144.968981110942
22,Our Lady of Lebanon Church,Place of Worship,Church,185 Rathdowne Street  Carlton,-37.802576653968295,144.969334720932
23,St Michaels,Place of Worship,Church,468 Dryburgh Street  North Melbourne,-37.7940512679297,144.945399480629
24,Ukranian Catholic Cathedral,Place of Worship,Church,35 Canning Street  North Melbourne,-37.7963084580345,144.944313454028
25,St Alban Anglican Church,Place of Worship,Church,55 Melrose Street  North Melbourne,-37.7942169477929,144.94161451392
